,Sample,Temperature_K,fH2,fH2O,SiO2_MF,CaO_MF,MgO_MF,Al2O3_MF,FeO_MF,Na2O_MF,OH_Conc_ppm,OH_Conc_ppm_unc
45,Per-fO2(2),2166,0,0,0.405969622,0.019283331,0.490065133,0.022492321,0.062023763,8.43E-05,5.381292568,2.32166571
46,Per-fO2(3),2134,1.28E-05,0.00071,0.405420167,0.019290285,0.489982536,0.022449178,0.062773517,8.43E-05,18.50409374,3.058461163
47,Per-fO2(6),2151,2.77E-05,0.0015,0.40686303,0.019313358,0.489140646,0.022116824,0.062484472,0,21.19474003,3.092153252
48,Per-fO2(7),2139,8.41E-05,0.0038,0.40666749,0.019291688,0.488332489,0.022348297,0.063360036,0,36.63055292,3.544412738
49,Per-fO2(8),2197,0.00024,0.0076,0.400675144,0.019385359,0.49443902,0.02250262,0.062997857,0,57.16443245,4.6101007
50,Per-fO2(9),2175,0.0016,0.018,0.399313648,0.018185161,0.500744601,0.022299779,0.059456811,0,84.40132554,5.557895342
51,Per-fO2(10),2173,0.012,0.027,0.406102387,0.019653965,0.489885899,0.022694964,0.061581251,0,108.9475723,6.329604825
52,Per-fO2(11),2169,0.041,0.018,0.399497655,0.019631894,0.501329184,0.022511615,0.057029651,0,110.5997236,6.456474402
53,Per-fO2(12),2112,0.064,0.0078,0.403211489,0.019960911,0.497580771,0.022722701,0.056524128,0,101.2060637,6.342089784
54,Per-TS1,2124,8.41E-05,0.0038,0.404982483,0.019055605,0.488930101,0.022193938,0.064671593,8.45E-05,32.9486159,3.333507503
55,Per-TS2,2148,8.41E-05,0.0038,0.40390821,0.019356869,0.49215858,0.022315998,0.062178882,0,35.96969243,4.713346111
56,LG3,1623.15,0.0303975,0.222915,0.442092366,0.094556557,0.198018052,0.053075379,0.181688176,9.78E-05,296.4431344,12.2731234
57,LG5,1623.15,0.00172,0.0709275,0.439880584,0.094082704,0.197479677,0.052933106,0.186076416,0,173.7119004,50.03658002
58,LG7,1623.15,0.93219,0.04053,0.519976416,0.112256605,0.236250565,0.063873429,0.031170572,0,135.0043574,2.832259246
59,LG35,1623.15,3.24E-05,0.00993,0.441714093,0.095083072,0.196399199,0.052593959,0.184141781,0.000688236,65.14196267,2.832259246
60,LG38,1623.15,0.56742,0.2127825,0.455721549,0.097434295,0.203947194,0.05542594,0.15555275,9.75E-05,304.9399122,7.552691323
61,LG39,1623.15,0.182385,0.32424,0.450928379,0.096233105,0.200463912,0.055249551,0.16560604,0.000293824,390.851776,11.32903699
62,LG40,1623.15,0.8004675,0.101325,0.492906023,0.105171389,0.218607974,0.05994705,0.07993497,0.009419601,212.4194435,5.664518493
63,AD2,1623.15,0.4559625,0.2533125,0.496876711,0.253456139,0.158339539,0.090678953,8.20E-05,0.000380303,379.522739,4.720432077
64,AD10,1623.15,0.1519875,0.32424,0.496140357,0.253007129,0.126323928,0.123975413,0,0.000391645,354.9764922,58.53335776
65,AD11,1623.15,0.8612625,0.0709275,0.499914634,0.25302988,0.192436571,0.054390761,0.000157371,0,182.2086782,7.552691323
66,AD23,1623.15,3.24E-05,0.00993,0.496349383,0.251866723,0.155927043,0.094102409,0.000245946,0.001425466,84.96777739,10.38495057
67,AD_B1_1b,1623.15,0.060795,0.2735775,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,379.522739,4.720432077
68,AD_B1_3b,1623.15,0.16212,0.32424,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,367.2496156,5.664518493
69,AD_B1_5,1623.15,0.0149,0.1722525,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,299.2753937,4.720432077
70,AD_B1_6,1623.15,0.000363,0.0303975,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,137.8366167,1.888172831
71,AD_B1_7,1623.15,0.00142,0.060795,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,187.8731967,3.776345662
72,AD_B1_9,1623.15,0.64848,0.1722525,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,253.0151593,8.496777739
73,AD_B1_12,1623.15,0.2330475,0.32424,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,381.4109118,5.664518493
74,AD_B1_13,1623.15,0.0506625,0.263445,0.495966093,0.254108321,0.139473588,0.109615343,0.000252131,0.000584524,374.8023069,3.776345662
75,AD_B3_25,1623.15,0.182385,0.32424,0.494339782,0.253464406,0.154342728,0.096707832,0.000165557,0.000767632,401.2367266,4.720432077
76,AD_B3_26,1623.15,0.8004675,0.101325,0.494339782,0.253464406,0.154342728,0.096707832,0.000165557,0.000767632,216.1957891,1.888172831
77,LG_B_1,1623.15,0.60795,0.1925175,0.440638188,0.094591031,0.197262817,0.053334052,0.183989808,9.79E-05,253.9592458,6.608604908
78,LG_B_2,1623.15,0.4154325,0.2735775,0.440638188,0.094591031,0.197262817,0.053334052,0.183989808,9.79E-05,318.157122,8.496777739
79,LG_B_4,1623.15,0.060795,0.2735775,0.440638188,0.094591031,0.197262817,0.053334052,0.183989808,9.79E-05,349.3119737,11.32903699
80,LG_B_6,1623.15,0.85113,0.08106,0.440638188,0.094591031,0.197262817,0.053334052,0.183989808,9.79E-05,175.6000733,4.720432077
